OBJECTID,es_sch,es_zone,ms_sch,ms_zone,Shape__Area,Shape__Length
1,201,Adams,115,Whitman,47620923.2188721,31697.2937549531
2,282,Whittier,115,Whitman,18397173.6375427,18654.1241219537
3,246,Loyal Heights,115,Whitman,42926491.3043213,41903.5058860239
4,202,Alki,107,Madison,49421708.505127,63883.8764526654
5,203,Arbor Heights,103,Denny Int'l,66890652.0379333,38489.6760715702
6,204,Bagley,113,Eagle Staff,31745787.9992065,22943.9208713275
7,205,Beacon Hill Int'l,110,Mercer Int'l,75636316.4876709,37848.6068444564
8,207,MLK Jr.,130,Aki Kurose,12123186.2078094,15537.1313944486
9,208,Broadview-Thomson K-8,113,Eagle Staff,64626022.5536194,33140.7127718941
10,209,Bryant,104,Eckstein,35823249.306427,27728.7651561583
11,211,Coe,118,McClure,39237343.8244324,27283.653502799
12,212,Thurgood Marshall,117,Washington,19006960.4631653,26787.1143747983
13,215,Concord Int'l,103,Denny Int'l,69946692.6395874,37644.4910153272
14,218,B.F. Day,105,Hamilton Int'l,54887862.7265015,35200.7275309633
15,219,Dunlap,130,Aki Kurose,14729173.1811218,18155.026610657
16,220,Graham Hill,130,Aki Kurose,42676316.3937531,36117.151277743
17,221,Emerson,130,Aki Kurose,40014293.7407074,37679.6773151771
18,222,Fairmount Park,107,Madison,36032087.5075989,26266.9356219857
19,225,Gatewood,107,Madison,43471353.5762329,29234.7246039191
20,226,Gatzert,117,Washington,19248072.0727844,18865.4398835835
21,229,Green Lake,0,Eckstein/Hamilton Int'l,80682538.4123535,48338.1720600629
22,230,Greenwood,113,Eagle Staff,19821361.2538147,18650.6880822498
23,233,Hawthorne,130,Aki Kurose,44732328.5508423,28669.8306278347
24,234,Hay,118,McClure,62179294.4382935,36499.207317776
25,235,Highland Park,103,Denny Int'l,18241616.0088043,17098.6141259136
26,236,West Seattle Elem,103,Denny Int'l,12376815.4429474,16521.6234486561
27,239,Lafayette,107,Madison,116651114.136993,63485.6117072842
28,242,Laurelhurst,104,Eckstein,67224008.8775024,45682.2178167762
29,243,Lawton,118,McClure,78768474.7849121,40879.7920422387
30,244,Leschi,109,Meany,34576688.3663635,27903.1000963583
31,245,Lowell,109,Meany,105259689.475983,52045.5604373785
32,248,McGilvra,109,Meany,55257123.3800049,36683.7827622431
33,249,Madrona,109,Meany,30200702.4941101,24453.5416788414
34,251,Dearborn Park Int'l,110,Mercer Int'l,19817780.6822052,20529.385237746
35,252,Maple,110,Mercer Int'l,29604904.5461578,24677.7300444284
36,255,Montlake,109,Meany,47244717.4481506,34806.7467525638
37,256,John Muir,117,Washington,29085449.9265442,29936.3180012113
38,257,James Baldwin,113,Eagle Staff,68104005.8828735,34095.615883068
39,259,North Beach,115,Whitman,44522285.9218445,32582.2378804625
40,261,Olympic Hills,106,Jane Addams,47148321.585022,31894.9041811019
41,262,Olympic View,106,Jane Addams,43365642.4807434,32250.8179310957
42,264,Rainier View,130,Aki Kurose,34879937.7592926,39506.8895173877
43,266,John Rogers,106,Jane Addams,54796612.6315613,33207.9657889622
44,267,Roxhill,103,Denny Int'l,27398092.6897736,26708.6901074514
45,268,Sacajawea,106,Jane Addams,31717525.4539185,31777.2073471274
46,269,Sand Point,104,Eckstein,50908724.1145325,39751.7210949583
47,270,Genesee Hill,107,Madison,31513574.2814484,27123.7145829396
48,272,Stevens,109,Meany,20306466.2422485,21570.6241289284
49,273,Sanislo,103,Denny Int'l,36514238.4533691,27962.8362845802
50,275,Rising Star,110,Mercer Int'l,156789056.246872,70609.8111440213
51,276,Viewlands,0,Whitman/Eagle Staff,87995813.335968,53842.2013128606
52,277,View Ridge,104,Eckstein,50912604.8985596,32955.1688775057
53,279,Wedgwood,104,Eckstein,31385372.5920715,27816.1817048772
54,281,West Woodland,105,Hamilton Int'l,43390093.9446716,29971.786243515
55,286,Wing Luke,130,Aki Kurose,13168017.0247192,19531.3051859073
56,288,Kimball,117,Washington,32367155.8796692,30983.3924220605
57,289,Catharine Blaine K-8,118,McClure,30027499.607605,23061.5017217402
58,250,Magnolia,118,McClure,46737726.6436462,32385.5603702445
