iter	RMSE
0	0.4443792543
1	0.4019239106
2	0.3684435807
3	0.3377979309
4	0.3118012918
5	0.291276884
6	0.2734631827
7	0.2599492312
8	0.2482480216
9	0.2387860954
10	0.2309133678
11	0.221608167
12	0.215338477
13	0.2084142806
14	0.203557638
15	0.2001815547
16	0.196307261
17	0.1938989409
18	0.1913941598
19	0.189004033
20	0.1874335334
21	0.1851199084
22	0.1839017193
23	0.1825850277
24	0.1813430308
25	0.1802786513
26	0.179368966
27	0.1786026252
28	0.1769475304
29	0.1760275546
30	0.1746853745
31	0.173912175
32	0.1731931283
33	0.1723956244
34	0.1719639721
35	0.1713917688
36	0.1706549311
37	0.1698610858
38	0.1694085148
39	0.1682984155
40	0.1677267524
41	0.1672942323
42	0.1668010581
43	0.1664520786
44	0.1659828989
45	0.1649696845
46	0.1646958003
47	0.1642618604
48	0.1637466444
49	0.1634617898
50	0.1630350405
51	0.1622968223
52	0.1616582424
53	0.1614182882
54	0.161068668
55	0.1606408713
56	0.1603632583
57	0.159987136
58	0.1596173501
59	0.1591974887
60	0.1589432044
61	0.1584828283
62	0.1576505018
63	0.1572931491
64	0.1570131986
65	0.1567131642
66	0.1563008566
67	0.1559261953
68	0.1555557781
69	0.1552944449
70	0.1550816247
71	0.1548133297
72	0.1545309684
73	0.1541934564
74	0.1538842252
75	0.1533749223
76	0.1530019722
77	0.1525561414
78	0.15208905
79	0.1518221932
80	0.1514872991
81	0.1512630707
82	0.1510068242
83	0.1507468257
84	0.1505197821
85	0.1502329088
86	0.1499014103
87	0.1496366305
88	0.1493903104
89	0.1491877939
90	0.1489228193
91	0.1485316463
92	0.14831772
93	0.1480731257
94	0.1476961068
95	0.1474738577
96	0.1471795715
97	0.1469724302
98	0.1468306652
99	0.1466025764
100	0.1463459073
101	0.1460983045
102	0.1457256833
103	0.1455170976
104	0.1453497597
105	0.1450874276
106	0.1448825538
107	0.144710921
108	0.1444787481
109	0.144146757
110	0.1439069419
111	0.1436284346
112	0.1434176819
113	0.1431330464
114	0.1428961583
115	0.1427096645
116	0.14255376
117	0.1423466711
118	0.1421524023
119	0.141949681
120	0.1417603244
121	0.1415714444
122	0.1412966865
123	0.1410346663
124	0.1408757135
125	0.1406081624
126	0.1404686259
127	0.1402811636
128	0.1400369214
129	0.1398810866
130	0.1395604446
131	0.1393895105
132	0.1392327686
133	0.1390908948
134	0.1388636817
135	0.1386528303
136	0.138391822
137	0.1382080997
138	0.1379395263
139	0.1377484404
140	0.1375780221
141	0.1373396656
142	0.1371732175
143	0.1369368747
144	0.1367951474
145	0.1366010492
146	0.1363050138
147	0.1360545411
148	0.1358670306
149	0.1356573418
150	0.1354930062
151	0.1352758608
152	0.1351322027
153	0.1349134354
154	0.1347338508
155	0.1345153434
156	0.1343596735
157	0.1342235339
158	0.1340605615
159	0.1338869462
160	0.13367057
161	0.1334792094
162	0.1333013438
163	0.1331250672
164	0.1329511839
165	0.1327740568
166	0.1326337112
167	0.1324841373
168	0.1321749594
169	0.132008512
170	0.1317096799
171	0.1315481855
172	0.1313486195
173	0.1312088681
174	0.1309673801
175	0.130839327
176	0.1306912436
177	0.1304745774
178	0.1303540857
179	0.1302374215
180	0.130032426
181	0.1298766706
182	0.1296777922
183	0.1295320634
184	0.1294158464
185	0.1292018719
186	0.1289868416
187	0.1288679712
188	0.1287085415
189	0.1286120035
190	0.1285320052
191	0.1283478698
192	0.1282677211
193	0.1280627553
194	0.1278021007
195	0.1276295659
196	0.127505885
197	0.1273195783
198	0.1271772683
199	0.1269895136
200	0.1268073591
201	0.1266150886
202	0.1264873444
203	0.1263778829
204	0.1261934588
205	0.1259993006
206	0.1258871271
207	0.1257468858
208	0.1256281318
209	0.1255343519
210	0.1254326555
211	0.1252980741
212	0.1251324462
213	0.1249623662
214	0.1247355822
215	0.1246308354
216	0.1245205155
217	0.1244211607
218	0.1242595559
219	0.1241089749
220	0.1239136364
221	0.1237765043
222	0.1236808983
223	0.1235168346
224	0.1234313112
225	0.1232730024
226	0.1231272879
227	0.1229526747
228	0.1228596762
229	0.122744835
230	0.1225680729
231	0.1224296264
232	0.1223120787
233	0.1221241856
234	0.1219635914
235	0.121835525
236	0.1216910201
237	0.1216022892
238	0.1214873645
239	0.1213526619
240	0.1212289389
241	0.1211267231
242	0.1209827439
243	0.1209068444
244	0.1207782297
245	0.1206643772
246	0.1206167146
247	0.1204863777
248	0.1203183913
249	0.1201764264
250	0.1199840806
251	0.1198177665
252	0.1196475525
253	0.1195331067
254	0.1194575241
255	0.1193768777
256	0.1192283772
257	0.1190939511
258	0.1189480597
259	0.1188513563
260	0.1186426244
261	0.1184495576
262	0.1183762845
263	0.118250041
264	0.1182016796
265	0.1180966387
266	0.1180076467
267	0.1178576649
268	0.1177098033
269	0.11763145
270	0.1175531749
271	0.1173427327
272	0.1172625168
273	0.1171458338
274	0.1170395234
275	0.1169042197
276	0.1167925123
277	0.1166604426
278	0.1165004361
279	0.1162876913
280	0.1161388747
281	0.1159682186
282	0.1158622469
283	0.1157690813
284	0.115700474
285	0.1156121455
286	0.1154745045
287	0.1153746468
288	0.1152448975
289	0.1151380098
290	0.1149995649
291	0.1149153379
292	0.1148433353
293	0.1147595737
294	0.1146750393
295	0.1145778138
296	0.114444625
297	0.1143618629
298	0.1142578772
299	0.1141771677
300	0.1140683017
301	0.1139570572
302	0.1138680011
303	0.1137396031
304	0.1135955177
305	0.1135258434
306	0.1134305292
307	0.1132433284
308	0.1130806457
309	0.1129462729
310	0.1128611611
311	0.1127622957
312	0.1126706689
313	0.1125975347
314	0.1125179415
315	0.1124398881
316	0.1123247394
317	0.1122121409
318	0.1121329986
319	0.1120492739
320	0.1118628914
321	0.1117476659
322	0.1116524983
323	0.1115779504
324	0.111463489
325	0.1113150249
326	0.1111686013
327	0.1110709321
328	0.1109301466
329	0.1107773418
330	0.1106161163
331	0.1105619767
332	0.1104014005
333	0.11028123
334	0.1101465608
335	0.110041849
336	0.1098717701
337	0.1097627053
338	0.1096872576
339	0.1095620012
340	0.1094837106
341	0.1093743752
342	0.109251441
343	0.1091789194
344	0.10910524
345	0.1090331003
346	0.1088629781
347	0.1087794919
348	0.1086857505
349	0.108599951
350	0.1084873991
351	0.1083865392
