iter	Passed	Remaining
0	6	2237
1	12	2133
2	19	2271
3	26	2285
4	34	2414
5	41	2394
6	49	2421
7	56	2415
8	62	2398
9	70	2406
10	76	2365
11	83	2356
12	128	3362
13	150	3627
14	158	3559
15	166	3490
16	172	3390
17	178	3313
18	185	3256
19	192	3188
20	200	3153
21	206	3092
22	213	3054
23	219	3000
24	225	2954
25	232	2917
26	238	2868
27	245	2838
28	251	2802
29	258	2774
30	266	2755
31	271	2719
32	279	2702
33	285	2669
34	291	2640
35	297	2607
36	302	2573
37	310	2564
38	315	2536
39	321	2504
40	327	2486
41	332	2454
42	338	2429
43	345	2417
44	350	2392
45	355	2367
46	361	2347
47	366	2324
48	372	2302
49	378	2285
50	383	2263
51	388	2242
52	394	2227
53	399	2206
54	405	2188
55	411	2174
56	417	2158
57	422	2140
58	428	2126
59	433	2109
60	438	2093
61	444	2079
62	450	2064
63	455	2049
64	460	2035
65	465	2019
66	471	2003
67	476	1990
68	482	1978
69	487	1964
70	493	1952
71	498	1937
72	503	1924
73	509	1913
74	514	1900
75	519	1887
76	525	1876
77	530	1863
78	535	1850
79	541	1840
80	546	1827
81	550	1813
82	556	1804
83	561	1792
84	567	1781
85	572	1772
86	578	1760
87	583	1749
88	588	1740
89	593	1728
90	599	1718
91	605	1711
92	610	1700
93	615	1689
94	621	1682
95	626	1671
96	632	1661
97	638	1653
98	643	1643
99	648	1634
100	654	1627
101	659	1617
102	665	1608
103	671	1600
104	676	1591
105	681	1581
106	687	1573
107	692	1564
108	697	1555
109	703	1548
110	709	1539
111	714	1530
112	720	1523
113	726	1516
114	732	1508
115	737	1501
116	742	1492
117	748	1483
118	754	1476
119	759	1468
120	764	1459
121	770	1452
122	775	1443
123	780	1434
124	786	1428
125	791	1419
126	796	1411
127	802	1404
128	807	1396
129	812	1387
130	818	1381
131	823	1373
132	828	1364
133	834	1357
134	839	1349
135	844	1341
136	851	1335
137	856	1328
138	861	1320
139	867	1313
140	872	1305
141	878	1299
142	884	1292
143	889	1285
144	894	1277
145	900	1270
146	906	1263
147	911	1256
148	917	1249
149	922	1241
150	927	1234
151	933	1228
152	938	1220
153	943	1212
154	949	1206
155	954	1199
156	959	1192
157	965	1185
158	970	1178
159	976	1171
160	982	1165
161	987	1158
162	992	1151
163	998	1145
164	1004	1138
165	1009	1130
166	1015	1124
167	1020	1117
168	1025	1110
169	1032	1105
170	1037	1098
171	1043	1091
172	1049	1085
173	1054	1078
174	1059	1071
175	1065	1065
176	1070	1058
177	1075	1051
178	1081	1045
179	1086	1038
180	1092	1031
181	1098	1025
182	1102	1018
183	1108	1011
184	1113	1005
185	1119	998
186	1125	993
187	1131	987
188	1136	980
189	1141	973
190	1147	966
191	1152	960
192	1157	953
193	1163	947
194	1168	941
195	1174	934
196	1179	928
197	1185	921
198	1190	915
199	1196	909
200	1201	902
201	1207	896
202	1213	890
203	1218	883
204	1223	877
205	1230	871
206	1236	865
207	1242	860
208	1247	853
209	1252	847
210	1259	841
211	1264	834
212	1269	828
213	1276	822
214	1281	816
215	1286	809
216	1292	803
217	1296	797
218	1302	790
219	1308	784
220	1313	778
221	1318	771
222	1324	766
223	1329	759
224	1334	753
225	1341	747
226	1346	741
227	1352	735
228	1358	729
229	1363	723
230	1369	717
231	1375	711
232	1380	705
233	1386	698
234	1392	693
235	1397	686
236	1402	680
237	1408	674
238	1413	668
239	1418	662
240	1424	656
241	1430	650
242	1435	643
243	1441	638
244	1446	631
245	1451	625
246	1457	619
247	1462	613
248	1467	606
249	1473	601
250	1477	594
251	1483	588
252	1489	582
253	1494	576
254	1499	570
255	1505	564
256	1510	558
257	1515	552
258	1522	546
259	1528	540
260	1533	534
261	1540	529
262	1544	522
263	1550	516
264	1555	510
265	1560	504
266	1566	498
267	1572	492
268	1577	486
269	1582	480
270	1588	474
271	1593	468
272	1598	462
273	1604	456
274	1608	450
275	1614	444
276	1620	438
277	1625	432
278	1630	426
279	1636	420
280	1641	414
281	1646	408
282	1652	402
283	1657	396
284	1662	390
285	1668	385
286	1673	379
287	1679	373
288	1685	367
289	1690	361
290	1695	355
291	1701	349
292	1706	343
293	1711	337
294	1717	331
295	1722	325
296	1728	320
297	1734	314
298	1739	308
299	1744	302
300	1751	296
301	1756	290
302	1761	284
303	1767	279
304	1772	273
305	1777	267
306	1784	261
307	1789	255
308	1794	249
309	1800	243
310	1805	238
311	1810	232
312	1816	226
313	1821	220
314	1826	214
315	1832	208
316	1838	202
317	1843	197
318	1849	191
319	1854	185
320	1859	179
321	1865	173
322	1870	167
323	1876	162
324	1882	156
325	1887	150
326	1892	144
327	1898	138
328	1903	133
329	1909	127
330	1915	121
331	1920	115
332	1926	109
333	1932	104
334	1937	98
335	1942	92
336	1948	86
337	1953	80
338	1958	75
339	1964	69
340	1970	63
341	1975	57
342	1981	51
343	1986	46
344	1991	40
345	1997	34
346	2002	28
347	2007	23
348	2013	17
349	2019	11
350	2024	5
351	2030	0
