iter	MultiClass
0	1.092916822
1	1.086989482
2	1.081675535
3	1.076466613
4	1.070796035
5	1.065622414
6	1.060544871
7	1.055399778
8	1.050569183
9	1.045903088
10	1.040992918
11	1.03630809
12	1.031706405
13	1.027584399
14	1.023183458
15	1.018593527
16	1.014168336
17	1.009630653
18	1.005605343
19	1.001140443
20	0.9972058541
21	0.9931074554
22	0.9886236982
23	0.9850164959
24	0.9815209745
25	0.9775953732
26	0.974017263
27	0.9703817911
28	0.9668954892
29	0.9636400313
30	0.9600899463
31	0.9564258224
32	0.953040415
33	0.9496468306
34	0.9467537455
35	0.9433489623
36	0.9403984276
37	0.9367800529
38	0.9334636666
39	0.9302922495
40	0.9270781524
41	0.9237799095
42	0.9205948411
43	0.9173194524
44	0.9145583315
45	0.9117349102
46	0.9089308817
47	0.9061809785
48	0.9034214651
49	0.9003197829
50	0.8979727224
51	0.8952511253
52	0.8928968632
53	0.8902421668
54	0.8877951482
55	0.8855713497
56	0.8831663939
57	0.8804444054
58	0.8783160689
59	0.875976495
60	0.8735126662
61	0.8712223011
62	0.868637678
63	0.8661396509
64	0.8639707992
65	0.8616083114
66	0.8595158442
67	0.8570903259
68	0.8549370293
69	0.8525520246
70	0.8502933654
71	0.8481256964
72	0.8460864939
73	0.8437852777
74	0.8418041977
75	0.839772812
76	0.8378629603
77	0.8359950684
78	0.8340370035
79	0.8321071544
80	0.8301612755
81	0.8283159029
82	0.8263635615
83	0.8244642816
84	0.8226254795
85	0.8209699714
86	0.8191067574
87	0.8173357963
88	0.8156540286
89	0.8138169318
90	0.8119644375
91	0.8102625118
92	0.8084771646
93	0.8066735941
94	0.8049035486
95	0.8031833194
96	0.8015926074
97	0.800098801
98	0.798555929
99	0.7967945109
100	0.7950700261
101	0.7935282699
102	0.7919744253
103	0.7905447735
104	0.7890786932
105	0.7875285375
106	0.7860540923
107	0.7846625544
108	0.7832627752
109	0.7817818319
110	0.7803242183
111	0.7786453933
112	0.7770135888
113	0.7756673627
114	0.7743702191
115	0.7730394983
116	0.7717227056
117	0.7701799078
118	0.7688309932
119	0.7675811578
120	0.7662115498
121	0.7648895834
122	0.7636681451
123	0.7623537179
124	0.7611144982
125	0.7596491828
126	0.7584484978
127	0.757194347
128	0.7559500231
129	0.7548517107
130	0.7533699651
131	0.7523013845
132	0.7511533418
133	0.7500366216
134	0.7484748267
135	0.7473181176
136	0.7462044228
137	0.744864101
138	0.7437136687
139	0.7424977027
140	0.7414091804
141	0.7402758972
142	0.7389972505
143	0.7379747745
144	0.7369603679
145	0.7358717272
146	0.734848202
147	0.733361054
148	0.7323088282
149	0.7312461627
150	0.7298460511
151	0.7286541407
152	0.7274300677
153	0.7263478522
154	0.7252713772
155	0.7239367964
156	0.7229153536
157	0.7219886357
158	0.7208579793
159	0.719792627
160	0.7188705565
161	0.7179500353
162	0.7168858756
163	0.7158153966
164	0.7147808047
165	0.7138454761
166	0.7127853713
167	0.7117622043
168	0.710808307
169	0.7098271495
170	0.708934447
171	0.7080311811
172	0.707005685
173	0.7059623864
174	0.705142048
175	0.7042918739
176	0.703134179
177	0.7021906223
178	0.7011681502
179	0.7003431454
180	0.6992275018
181	0.6983319609
182	0.6974299535
183	0.6966360757
184	0.6957506821
185	0.6948034602
186	0.6939124509
187	0.692795391
188	0.6919949836
189	0.6911043188
190	0.6902585037
191	0.6893128537
192	0.6885253322
193	0.6875359964
194	0.6867366556
