iter	RMSE
0	6.479882065
1	6.368431898
2	6.270623382
3	6.165732455
4	6.069015565
5	5.97382962
6	5.882241977
7	5.802965857
8	5.728085875
9	5.655262874
10	5.579064146
11	5.515190825
12	5.448043477
13	5.383286766
14	5.323298565
15	5.264490228
16	5.212213517
17	5.165005752
18	5.118155852
19	5.072492265
20	5.035026758
21	4.99658382
22	4.963607073
23	4.932338936
24	4.902543439
25	4.871812753
26	4.845572023
27	4.813554701
28	4.782648965
29	4.755147884
30	4.732142264
31	4.705719603
32	4.68421868
33	4.662431062
34	4.643119543
35	4.623278053
36	4.603294894
37	4.584485963
38	4.56814634
39	4.555642108
40	4.541130623
41	4.525380363
42	4.513679011
43	4.497584135
44	4.482914957
45	4.470530131
46	4.46081422
47	4.449311177
48	4.435894674
49	4.423623833
50	4.413316131
51	4.401919868
52	4.390278537
53	4.381118079
54	4.374883429
55	4.366713198
56	4.357755194
57	4.349395847
58	4.3406611
59	4.329253514
60	4.320995086
61	4.313687559
62	4.307054624
63	4.299975866
64	4.295625491
65	4.28852687
66	4.280935394
67	4.273419543
68	4.26750624
69	4.262083363
70	4.256673145
71	4.251981967
72	4.247721111
73	4.240060585
74	4.236184579
75	4.22981857
76	4.224422985
77	4.22000367
78	4.215211016
79	4.21024864
80	4.20525855
81	4.199117277
82	4.193750978
83	4.19086775
84	4.185196785
85	4.179496626
86	4.176597723
87	4.170144123
88	4.164843542
89	4.16161074
90	4.15774628
91	4.151869899
92	4.148732163
93	4.145525805
94	4.139342003
95	4.135312948
96	4.13200511
97	4.124346089
98	4.118881495
99	4.113225748
100	4.108373603
101	4.105539009
102	4.103086568
103	4.100445651
104	4.094286965
105	4.087301313
106	4.085261809
107	4.080498184
108	4.076630155
109	4.072295695
110	4.069997568
111	4.066397004
112	4.065557703
113	4.062565931
114	4.059202139
115	4.054191471
116	4.048268449
117	4.042305849
118	4.039087554
119	4.035792692
120	4.03304823
121	4.028907648
122	4.02258373
123	4.020885897
124	4.016880789
125	4.015340869
126	4.013228477
127	4.006864294
128	4.003840387
129	3.998985497
130	3.998045489
131	3.992892428
132	3.989781883
133	3.985518953
134	3.981331662
135	3.978772979
